dataset,n_train,n_features,tabicl_s,tabicl_accuracy,tabicl_roc_auc,tabicl_gpu_peak_gb,xgb_default_s,xgb_default_accuracy,xgb_default_roc_auc,xgb_tuned_s,xgb_tuned_accuracy,xgb_tuned_roc_auc
bank-marketing,30000,16,20.351658582687378,0.9117549485790114,0.941995506697932,10.395904,0.14505982398986816,0.9077739688156585,0.9289161033270085,22.42454719543457,0.9067787238748203,0.9336470911314102
churn,4000,20,1.1379339694976807,0.974,0.9270139284505321,1.71674624,0.09628510475158691,0.955,0.9202107018717129,12.368273496627808,0.951,0.9187823545438785
credit-g,800,20,1.60060715675354,0.795,0.8446428571428571,0.667981312,0.05357956886291504,0.785,0.8104761904761905,7.278199672698975,0.795,0.8538095238095238
adult,30000,14,7.497008562088013,0.871839492271471,0.925397892144657,9.526843392,0.11958670616149902,0.8712253045347528,0.9262770381723431,20.247388124465942,0.8724536800081891,0.9269234758466227
click-prediction,30000,9,6.536382675170898,0.8345431789737171,0.6857262314454584,6.627268608,0.14015793800354004,0.8315394242803504,0.6757778079944322,23.520159006118774,0.8341677096370463,0.6921467983715212
