dataset,n_train,n_features,tabicl_s,tabicl_nrmse,tabicl_r2,tabicl_gpu_peak_gb,xgb_default_s,xgb_default_nrmse,xgb_default_r2,xgb_tuned_s,xgb_tuned_nrmse,xgb_tuned_r2
cpu-act,6553,21,5.033740282058716,0.10505236849535929,0.9889640212059021,2.837010432,0.15912652015686035,0.16030680396308505,0.9743017554283142,36.254629373550415,0.12745213745099127,0.9837559461593628
pol,12000,48,3.140636682510376,0.08427733230646135,0.9928973317146301,6.069763072,0.1343691349029541,0.12589185019226262,0.9841512441635132,28.62847876548767,0.1029381788381189,0.9894037246704102
elevators,13279,18,2.9366660118103027,0.26369747630947565,0.9304636409880135,4.95197952,0.1233823299407959,0.3407007531289793,0.8839229968173463,15.841696977615356,0.30967505955548363,0.9041013574893076
house-sales,17290,21,4.191246747970581,0.28397932526708064,0.9193557428208536,7.259358208,0.145552396774292,0.32021138130928367,0.8974646712800005,29.690589904785156,0.31204811119954584,0.9026259762967959
diamonds,30000,9,7.101830005645752,0.12712162856870526,0.9838401079177856,7.083249664,0.1283414363861084,0.14288043656968938,0.9795851707458496,24.70504355430603,0.13827020427979528,0.9808813333511353
