dataset,n_classes,n_train,series_len,zeroshot_s,zeroshot_accuracy,zeroshot_macro_f1,gpu_peak_gb,finetuned_s,finetuned_accuracy,finetuned_macro_f1,xgb_s,xgb_accuracy,xgb_macro_f1,finetuned_error
ECG5000,5,500,140,6.4915735721588135,0.9464444444444444,0.6465932477742244,9.168110592,248.58798956871033,0.9464444444444444,0.6465932477742244,0.5027389526367188,0.9328888888888889,0.5470904228879988,
ElectricDevices,7,8926,96,7.012113332748413,0.6907015951238491,0.6085716114468294,14.994896896,,,,2.8366646766662598,0.6759175204253663,0.5994133638111443,OutOfMemoryError
MedicalImages,10,381,99,1.666849136352539,0.8407894736842105,0.8138509858548254,1.682128896,26.642016887664795,0.8421052631578947,0.8155652351309817,0.7356996536254883,0.7118421052631579,0.6167076315859968,
Crop,24,7200,46,8.465051889419556,0.8199404761904762,0.8201400022851764,15.699709952,,,,3.6866447925567627,0.7595833333333334,0.759550270926178,OutOfMemoryError
FaceAll,14,560,131,2.941972017288208,0.772189349112426,0.7979560229785024,4.680337408,,,,1.2269437313079834,0.7976331360946746,0.7758567999969704,AcceleratorError
