dataset,n_train,n_features,tabicl_s,tabicl_accuracy,tabicl_roc_auc,tabicl_gpu_peak_gb,xgb_default_s,xgb_default_accuracy,xgb_default_roc_auc,xgb_tuned_s,xgb_tuned_accuracy,xgb_tuned_roc_auc
bank-marketing,30000,16,3.1477205753326416,0.9091009620701095,0.9411958622795815,10.422511616,0.08891749382019043,0.9077739688156585,0.9289161033270085,14.277015686035156,0.9067787238748203,0.9336470911314102
churn,4000,20,0.9017179012298584,0.973,0.928149175604158,1.74296064,0.06337189674377441,0.955,0.9202107018717129,8.114839553833008,0.951,0.9187823545438785
credit-g,800,20,0.7694141864776611,0.79,0.8447619047619048,0.694195712,0.03961944580078125,0.785,0.8104761904761905,4.641525506973267,0.795,0.8538095238095238
adult,30000,14,2.502995491027832,0.8713276691575391,0.9253856609982065,9.553057792,0.07417583465576172,0.8712253045347528,0.9262770381723431,12.767691612243652,0.8724536800081891,0.9269234758466227
click-prediction,30000,9,2.0662596225738525,0.8352941176470589,0.6860482214566674,6.653483008,0.09421443939208984,0.8315394242803504,0.6757778079944322,14.471615552902222,0.8341677096370463,0.6921467983715212
