dataset,n_classes,n_train,series_len,zeroshot_s,zeroshot_accuracy,zeroshot_macro_f1,gpu_peak_gb,xgb_s,xgb_accuracy,xgb_macro_f1
ECG5000,5,500,140,2.451620101928711,0.9464444444444444,0.6486965562101237,9.193145344,0.35216283798217773,0.9328888888888889,0.5470904228879988
ElectricDevices,7,8926,96,3.316873550415039,0.6879782129425496,0.6071271266276442,21.66759936,2.138321876525879,0.6759175204253663,0.5994133638111443
MedicalImages,10,381,99,1.276167392730713,0.8394736842105263,0.8126586605180123,1.697690624,0.5293896198272705,0.7118421052631579,0.6167076315859968
Crop,24,7200,46,3.2983107566833496,0.8219047619047619,0.8221286133748767,17.94207232,2.173729419708252,0.7595833333333334,0.759550270926178
FaceAll,14,560,131,1.9843823909759521,0.7680473372781065,0.7935549964574492,4.69750784,0.845867395401001,0.7976331360946746,0.7758567999969704
