dataset,n_classes,n_train,series_len,zeroshot_s,zeroshot_accuracy,zeroshot_macro_f1,gpu_peak_gb,xgb_s,xgb_accuracy,xgb_macro_f1
ECG5000,5,500,140,2.304912567138672,0.9462222222222222,0.6469592589355466,9.193145344,0.3470795154571533,0.9328888888888889,0.5470904228879988
ElectricDevices,7,8926,96,3.297689437866211,0.688237582674102,0.6070106779809524,21.66759936,2.090208053588867,0.6759175204253663,0.5994133638111443
MedicalImages,10,381,99,1.2604012489318848,0.8394736842105263,0.8117420523212402,1.697690624,0.4896094799041748,0.7118421052631579,0.6167076315859968
Crop,24,7200,46,3.277377128601074,0.8217857142857142,0.8219949646645496,17.94207232,2.1838409900665283,0.7595833333333334,0.759550270926178
FaceAll,14,560,131,1.9357986450195312,0.7680473372781065,0.7938757518266326,4.69750784,0.7931649684906006,0.7976331360946746,0.7758567999969704
